complaint_text,sector
Irrigation water not reaching the fields - frequent issue for many days - requesting help,Agriculture
Teachers absent regularly and classes not held - frequent issue for many days,Education
Kindly note: Illegal sand mining observed nearby - major issue regularly,PublicSafety
Hospital toilets unhygienic and unusable - major issue regularly - please take action,Health
Transformer making unusual noise and sparking - severe issue since last week,Electricity
Tap water is muddy and smells bad - frequent issue today - cheppandi emi chestaru,Water
Complaint: Street lights not working at night - urgent issue since last week,Electricity
 Need new ration card application processed quickly - repeated issue for many days,Other
Medicines not available in government hospital pharmacy - frequent issue for the past few days,Health
Seeds not available on time for farmers - serious issue for a month,Agriculture
Teachers absent regularly and classes not held - repeated issue today,Education
Mid-day meal quality is poor and insufficient - minor issue for a month,Education
Electric pole leaning dangerously and may fall,Electricity
Frequent power cuts disturbing daily life - urgent issue for many days,Electricity
City bus route cancelled suddenly without notice - serious issue since yesterday,Transport
School building walls are cracked and unsafe - minor issue for the past few days,Education
School needs more benches and fans - urgent issue since last week - this is urgent,Education
Pipeline leakage flooding the street - serious issue today - this is urgent,Water
Hospital toilets unhygienic and unusable,Health
Public toilet is dirty and unusable - minor issue today,Sanitation
Public toilet is dirty and unusable - serious issue regularly - plz solve asap,Sanitation
Mid-day meal quality is poor and insufficient - frequent issue for many days - requesting help,Education
School building walls are cracked and unsafe - frequent issue regularly,Education
Auto drivers overcharging passengers on routes - kripya isko thik karein,Transport
Pipeline leakage flooding the street - severe issue since yesterday,Water
Open drains causing mosquito problem - repeated issue for a month - kindly fix this,Sanitation
Complaint: City bus route cancelled suddenly without notice - frequent issue since yesterday,Transport
Irregular water supply causing problems,Water
Tap water is muddy and smells bad - severe issue for a month - cheppandi emi chestaru,Water
Attention: Teachers absent regularly and classes not held - minor issue today - please resolve asap,Education
Complaint: Speeding vehicles in residential area need control - severe issue for a month,PublicSafety
Complaint: Overhead water tank leaking heavily - minor issue today,Water
Frequent power cuts disturbing daily life - minor issue for the past few days,Electricity
Sewage water overflowing on the street - severe issue since yesterday,Sanitation
Tap water is muddy and smells bad - frequent issue for many days,Water
Electric pole leaning dangerously and may fall - minor issue regularly - please take action,Electricity
Open drains causing mosquito problem - major issue regularly - cheppandi emi chestaru,Sanitation
Public toilet is dirty and unusable - severe issue today,Sanitation
Medicines never available in government hospital pharmacy - frequent issue for many days - plz solve asap,Health
Hospital toilets unhygienic and unusable - requesting help - kripya,Health
Attention: Loudspeakers used at night disturbing sleep - minor issue today - kripya isko thik karein,PublicSafety
Illegal sand mining observed nearby - no one is taking action,PublicSafety
Complaint: Aadhaar update facility not available at office - serious issue for the past few days - please resolve asap,Other
 Illegal sand mining observed nearby - serious issue for a month,PublicSafety
Public toilet is dirty and unusable - repeated issue regularly - kindly fix this,Sanitation
Hospital toilets unhygienic and unusable - minor issue for the past few days - cheppandi emi chestaru,Health
Complaint: Irregular water supply causing problems,Water
Waste dumped in open area creating strong smell - severe issue regularly,Sanitation
Debris blocking the road and not cleared - urgent issue for the past few days,Roads
Auto drivers overcharging passengers on routes - minor issue since yesterday,Transport
Tap water is muddy and smells bad - frequent issue since last week,Water
Loudspeakers used at night disturbing sleep - minor issue for the past few days - please take action,PublicSafety
Irrigation water not reaching the fields - minor issue for the past few days,Agriculture
City bus route cancelled suddenly without notice - urgent issue for a month,Transport
Open drains causing mosquito problem - urgent issue regularly,Sanitation
Divider damaged and unsafe for traffic - severe issue for the past few days,Roads
 Drunken driving at night causing danger - plz solve asap,PublicSafety
Potholes on the main road causing accidents - minor issue for many days - cheppandi emi chestaru,Roads
Government office staff rude and not helpful - serious issue for a month,Other
 Speeding vehicles in residential area need control - major issue since last week,PublicSafety
Bus stop lacks shelter and seating for passengers - frequent issue regularly,Transport
Delay in pension disbursement for senior citizens - severe issue for the past few days - kripya isko thik karein,Other
 Debris blocking the road and not cleared - severe issue for a month - please take action,Roads
Irrigation water not reaching the fields - severe issue since yesterday,Agriculture
Open drains causing mosquito problem,Sanitation
Sewage water overflowing on the street - major issue today,Sanitation
No proper drinking waater facility in school - frequent issue for the past few days,Education
Potholes on the main road causing accidents - minor issue today,Roads
Medicines not available in government hospital pharmacy - minor issue today,Health
Pipeline leakage flooding the street - major issue since last week,Water
Divider damaged and unsafe for traffic - major issue for a month,Roads
Irregular water supply causing problems - urgent issue regularly,Water
Noise pollution from nearby factory at night - major issue regularly,Other
"Paddy crops affected by pest attack, need support - minor issue regularly",Agriculture
Hospital toilets unhygienic and unusable - frequent issue since yesterday,Health
Footpath broken and dangerous for pedestrians,Roads
No drinking water supply since yesterday - major issue today,Water
School needs more benches and fans - severe issue today - please take action,Education
Kindly note: Pipeline leakage flooding the street - minor issue since last week,Water
 Mid-day meal quality is poor and insufficient - repeated issue for the past few days,Education
Kindly note: Health center closed during working hours - serious issue since yesterday,Health
City bus route cancelled suddenly without notice - repeated issue today - please resolve asap,Transport
Complaint: Health center closed during working hours - minor issue regularly - no one is taking action,Health
Attention: School needs more benches and fans - urgent issue since yesterday,Education
Teachers absent regularly and classes not held - serious issue since last week,Education
Sewage water overflowing on the street - serious issue regularly,Sanitation
"Paddy crops affected by pest attack, need support - urgent issue today",Agriculture
Railway crossing gate not working causing traffic jams - urgent issue for the past few days,Transport
Frequent power cuts disturbing daily life - minor issue today,Electricity
Sewage water overflowing on the street - major issue today - please resolve asap,Sanitation
Kindly note: City bus route cancelled suddenly without notice - repeated issue for a month - this is urgent,Transport
Drunken driving at night causing danger - frequent issue today - please take action,PublicSafety
Medicines not available in government hospital pharmacy - frequent issue regularly,Health
Open drains causing mosquito problem - major issue since yesterday,Sanitation
Aadhaar update facility not available at office - urgent issue for the past few days,Other
Noise pollution from nearby factory at night,Other
No drinking water supply since yesterday - repeated issue for the past few days - please resolve,Water
Frequent power cuts disturbing daily life - frequent issue for the past few days,Electricity
Crop insurance claim pending for a long time - serious issue for many days,Agriculture
Transformer making unusual noise and sparking - minor issue since yesterday - please resolve asap,Electricity
Sewage water overflowing on the street,Sanitation
Crop insurance claim pending for a long time - severe issue since last week,Agriculture
Health center closed during working hours,Health
Overhead water tank leaking heavily,Water
Tap water is muddy and smells bad - urgent issue since last week,Water
School needs more benches and fans - frequent issue since yesterday - please take action,Education
Divider damaged and unsafe for traffic - major issue since last week - plz solve asap,Roads
Government office staff rude and never helpful - serious issue regularly,Other
No proper drinking water facility in school - frequent issue since last week,Education
Kindly note: Public toilet is dirty and unusable - repeated issue for many days,Sanitation
Delay in pension disbursement for senior citizens - major issue for many days - plz solve asap,Other
Fertilizer subsidy not credited to farmers - repeated issue for the past few days,Agriculture
Drunken driving at night causing danger - minor issue for a month,PublicSafety
Hospital toilets unhygienic and unusable - urgent issue regularly,Health
Attention: Voltage fluctuations damaging appliances - urgent issue regularly,Electricity
Health center closed during working hours - minor issue for many days,Health
Tap water is muddy and smells bad - major issue since yesterday - no one is taking action,Water
Street is damaged and difficult for vehicles - minor issue for many days,Roads
Debris blocking the road and not cleared - frequent issue regularly,Roads
Traffic signals no working properly at busy junctions - major issue for the past few days,Transport
Electric pole leaning dangerously and may fall - major issue for the past few days,Electricity
" Stray dogs attacking people, need control measures - frequent issue for the past few days",Health
Delay in pension disbursement for senior citizens - minor issue today - this is urgent,Other
Ambulance not arriving quickly during emergencies - serious issue since last week - cheppandi emi chestaru,Health
"Paddy crops affected by pest attack, need support - serious issue for the past few days",Agriculture
Illegal sand mining observed nearby - urgent issue for a month,PublicSafety
Sewage water overflowing on the street - urgent issue for the past few days,Sanitation
Crop insurance claim pending for a long time - minor issue for many days,Agriculture
City bus route cancelled suddenly without notice - urgent issue for a month,Transport
Footpath broken and dangerous for pedestrians - serious issue since last week - this is urgent,Roads
Kindly note: Delay in pension disbursement for senior citizens - minor issue regularly - kripya,Other
Frequent power cuts disturbing daily life - major issue for the past few days,Electricity
 Illegal sand mining observed nearby - major issue today,PublicSafety
Garbage not collected for many days - minor issue today,Sanitation
Footpath broken and dangerous for pedestrians - frequent issue regularly,Roads
Complaint: No proper drinking water facility in school - major issue for the past few days,Education
Ambulance not arriving quickly during emergencies - urgent issue since last week,Health
Complaint: Teachers absent regularly and classes not held - urgent issue for the past few days - no one is taking action,Education
City bus route cancelled suddenly without notice - please take action,Transport
Crop insurance claim pending for a long time - serious issue since yesterday,Agriculture
Voltage fluctuations damaging appliances - serious issue today - plz solve asap,Electricity
Electric pole leaning dangerously and may fall - severe issue regularly,Electricity
Electric pole leaning dangerously and may fall - frequent issue for many days,Electricity
Transformer making unusual noise and sparking - serious issue for the past few days,Electricity
Illegal sand mining observed nearby - minor issue for the past few days,PublicSafety
Sewage water overflowing on the street - serious issue for a month,Sanitation
 Tap water is muddy and smells bad - serious issue regularly,Water
Public toilet is dirty and unusable - repeated issue since yesterday,Sanitation
Frequent power cuts disturbing daily life - repeated issue for the past few days,Electricity
School needs more benches and fans - severe issue regularly - plz solve asap,Education
Street is damaged and difficult for vehicles - major issue for the past few days - please take action,Roads
Government office staff rude and not helpful - frequent issue today,Other
Illegal sand mining observed nearby - severe issue since yesterday - please resolve asap,PublicSafety
Hospital toilets unhygienic and unusable - major issue regularly - plz solve asap,Health
Bus stop lacks shelter and seating for passengers - frequent issue for the past few days,Transport
Voltage fluctuations damaging appliances - repeated issue today,Electricity
Illegal sand mining observed nearby,PublicSafety
Chain snatching incidents reported in the area - major issue since last week,PublicSafety
No proper drinking water facility in school - severe issue since last week - cheppandi emi chestaru,Education
Frequent power cuts disturbing daily life - serious issue for many days,Electricity
Divider damaged and unsafe for traffic - severe issue since last week - no one is taking action,Roads
Electric pole leaning dangerously and may fall - minor issue since yesterday,Electricity
Irrigation water not reaching the fields - serious issue regularly,Agriculture
Kindly note: Seeds not available on time for farmers - repeated issue since yesterday,Agriculture
Complaint: Speeding vehicles in residential area need control - repeated issue since yesterday,PublicSafety
Chain snatching incidents reported in the area - frequent issue today - this is urgent,PublicSafety
 Teachers absent regularly and classes not held - major issue for the past few days,Education
Auto drivers overcharging passengers on routes - serious issue for a month,Transport
No proper drinking water facility in school - severe issue for the past few days,Education
Attention: Footpath broken and dangerous for pedestrians,Roads
Street is damaged and difficult for vehicles - frequent issue since last week,Roads
Divider damaged and unsafe for traffic,Roads
Medicines not available in government hospital pharmacy - severe issue for the past few days,Health
Auto drivers overcharging passengers on routes - frequent issue for many days,Transport
Illegal sand mining observed nearby - serious issue since last week - requesting help,PublicSafety
Complaint: Traffic signals not working properly at busy junctions - major issue today,Transport
School building walls are cracked and unsafe - major issue for the past few days - no one is taking action,Education
 Loudspeakers used at night disturbing sleep - major issue regularly,PublicSafety
Tap water is muddy and smells bad - frequent issue today,Water
Irrigation waater not reaching the fields - major issue for a month,Agriculture
Auto drivers overcharging passengers on routes - severe issue since last week,Transport
Irrigation water not reaching the fields - frequent issue since last week,Agriculture
No proper drinking water facility in school - frequent issue for a month - no one is taking action,Education
"Paddy crops affected by pest attack, need support - urgent issue today - kripya isko thik karein",Agriculture
Potholes on the main road causing accidents - severe issue for the past few days - plz solve asap,Roads
Electric pole leaning dangerously and may fall - major issue today,Electricity
Teachers absent regularly and classes not held - urgent issue since last week,Education
Fertilizer subsidy not credited to farmers - minor issue since yesterday - plz solve asap,Agriculture
Complaint: Potholes on the main road causing accidents - urgent issue since last week,Roads
Aadhaar update facility not available at office - asap issue for many days,Other
Waste dumped in open area creating strong smell - major issue for a month - cheppandi emi chestaru,Sanitation
Complaint: Bus stop lacks shelter and seating for passengers - urgent issue regularly,Transport
Hospital toilets unhygienic and unusable - frequent issue for the past few days,Health
Teachers absent regularly and classes not held - serious issue for the past few days,Education
Sewage water overflowing on the street - major issue for many days,Sanitation
Attention: Medicines not available in government hospital pharmacy - frequent issue regularly,Health
"Stray dogs attacking people, need control measures - minor issue for the past few days - please resolve asap",Health
 Loudspeakers used at night disturbing sleep - severe issue for many days,PublicSafety
